gene,cluster_kmeans,cluster_hdbscan
AGPAT4,10,-1
ZNF23,0,14
ENPP1,9,-1
LMNB1,3,-1
IL36G,9,-1
VTN,9,13
SEMA3B,16,-1
KMT2A,8,13
P2RX6,14,-1
AMT,11,-1
DNA2,6,12
EVC,16,-1
ACVR1,16,13
SYT1,14,-1
FBXO43,15,-1
PLXNC1,16,-1
TRPC3,14,-1
ENPEP,4,-1
HPSE,9,13
IL19,9,-1
AHCYL2,11,-1
CLTCL1,2,10
RPL24,7,11
TSLP,9,-1
DOCK1,15,-1
TNN,16,-1
MYO5A,2,10
BMP2K,12,13
ZNF132,0,14
PDXP,3,-1
HERC3,15,-1
CNTFR,5,-1
HOXB1,8,13
DBF4B,15,-1
ASAP2,2,-1
TUBB4A,3,-1
MRPL20,7,-1
PAPOLA,6,-1
BLNK,5,-1
COL12A1,3,-1
MED1,8,13
ARPC4,3,-1
MKNK2,12,13
SGK3,12,13
UBXN1,15,-1
ASIC1,14,9
STAR,1,-1
PLA2G4E,1,-1
CES1,1,-1
LGR6,13,-1
ACADVL,1,-1
NRG1,16,13
AK4,12,-1
ACSL5,1,-1
COL8A2,3,-1
CMA1,4,-1
LIG3,6,12
TUBB2B,3,-1
GAMT,11,-1
SIX4,8,13
MST1R,12,13
NLGN2,16,-1
PIGW,10,-1
MBOAT1,10,-1
TPCN1,14,-1
MCOLN3,14,-1
MST1,4,-1
HSPA4L,2,-1
RSPO3,16,-1
OGDHL,11,-1
YWHAG,15,-1
P2RX7,9,13
PPP2R3A,16,-1
ABCA4,14,-1
PAX8,16,13
BRCA2,6,13
PRKG1,12,13
CSGALNACT2,10,6
PRKAR2B,15,-1
ACE,4,13
CUBN,2,10
RPS25,7,11
SEMA3A,16,-1
ALDH3A1,11,-1
FGF18,16,-1
SYNJ1,12,-1
KMT2C,8,13
PALB2,6,-1
SIRT4,11,-1
ETV5,8,13
PTPRN,2,-1
AMDHD1,11,-1
ACAP1,2,-1
CYBRD1,14,-1
GSPT2,7,-1
NTS,9,-1
NDUFS7,17,1
