gene,cluster_kmeans,cluster_hdbscan
UBE2O,18,-1
GABBR2,13,-1
SUMO4,18,-1
MOGAT2,7,-1
IL27RA,1,-1
S1PR2,13,-1
TOPBP1,16,-1
IL23A,1,11
DSG2,4,-1
NUP43,2,-1
BST1,1,-1
USP1,18,-1
ME2,12,-1
PRCC,18,-1
SELE,1,-1
RIPK3,1,-1
FANCC,16,-1
GGT6,7,-1
ZNF83,10,-1
GGT5,12,-1
UBB,4,-1
ATP6V0A2,9,-1
POLE,16,-1
LRAT,7,-1
SULT1A2,12,-1
SLC19A1,9,3
CISH,1,-1
TCN2,9,-1
PTCH2,1,-1
CLCN2,9,-1
THBS2,15,-1
FZD9,1,-1
RABEP1,2,-1
ZNF746,10,-1
MCHR1,13,-1
SRR,11,-1
VAMP4,2,4
TTK,6,-1
YOD1,18,-1
COL8A1,15,7
LFNG,1,-1
FBXO4,18,-1
ZNF571,10,20
TJAP1,2,-1
SLC1A2,9,3
ALS2,4,-1
TLR1,1,-1
SLCO1B3,9,3
PGP,11,-1
DYNC1I1,2,-1
MYH11,4,-1
ZNF284,10,20
CDC45,16,-1
ZNF530,10,20
RNASEH2A,5,-1
CA9,4,-1
RPP40,14,-1
ZNF675,3,-1
CCNT2,3,-1
SLC25A17,9,-1
SLITRK3,4,-1
PSMD1,18,-1
ZNF200,18,-1
CCNB1,18,12
CDC6,18,-1
ZNF169,10,21
HS3ST2,7,-1
NKD2,2,-1
TK1,11,-1
CYSLTR2,13,-1
CD24,1,18
VKORC1L1,12,-1
NAT10,14,-1
AMD1,11,-1
TNXB,1,-1
KPNB1,2,10
AP1M2,2,4
STX2,2,-1
CDK5R1,4,17
IL7R,1,-1
ORC6,16,-1
NLGN4X,4,-1
CDC25A,18,-1
SOCS7,18,-1
PSMD11,18,-1
ADM,1,-1
ZNF133,10,-1
ALYREF,5,5
CUL2,18,-1
KCNJ12,9,-1
POLR3C,3,-1
UBE2QL1,18,-1
RPL36A,17,15
RMI1,16,-1
NEIL3,16,-1
SSX2IP,4,-1
ZNF814,10,-1
KIF23,18,-1
IL12A,1,11
ESR1,3,16
CST5,15,-1
ZFP30,10,20
BCO1,12,-1
MAPK10,6,9
EIF4E,5,-1
INMT,11,-1
ZNF398,10,21
SSR4,0,-1
CCL16,1,11
SEMA5A,1,11
BRCA2,16,13
FEN1,16,13
ZNF589,10,-1
NDUFA6,12,-1
IQCE,4,-1
NRG4,15,-1
ACER3,7,-1
NXT1,5,-1
INVS,2,-1
TFAP4,3,16
GMPR,11,-1
CTSW,2,-1
FANCI,16,-1
GCNT4,7,1
CYP1A2,12,2
POLR1B,3,-1
KPNA2,2,10
FANCA,18,-1
COL22A1,15,-1
RIF1,16,-1
PEMT,7,-1
PGD,12,-1
PIK3C2G,6,-1
CCL19,1,11
BCL2L11,1,-1
KCNJ11,9,-1
CARD14,1,-1
CYP8B1,12,2
ACACA,12,0
B4GALNT1,7,1
DHRS3,12,-1
CSTF3,5,-1
PRKAR2B,4,-1
UCK2,11,-1
PLXNB3,1,-1
RASSF1,18,-1
PTGS1,12,2
AHCY,11,-1
ZNF354B,10,-1
PABPC1L,5,-1
FLNC,4,-1
PRKCA,1,17
EEF1A2,11,-1
AVPR2,13,-1
ATP1B2,9,-1
INPP5F,4,-1
BRIP1,16,13
TRPC4,9,-1
VNN1,1,-1
RPL27A,17,15
GIT1,4,17
ZNF440,10,21
ZNF792,10,-1
BLVRA,1,-1
P2RY2,13,-1
CHEK1,16,13
ULBP2,1,-1
UGGT1,7,-1
SAT2,7,-1
SMC1A,16,-1
ATP2A3,9,-1
HSPA1B,18,14
PDE9A,11,-1
PLCB1,1,17
BAG2,18,-1
WNT2,1,-1
THEM4,17,-1
ANO2,9,-1
MLF1,3,-1
PIGA,7,-1
ABCA4,9,-1
S1PR4,13,-1
FLT3,1,-1
RGCC,1,-1
RPL23,17,15
CBR3,12,-1
PDE10A,11,-1
HGF,1,-1
PSMD9,18,-1
PRKACB,6,9
TALDO1,11,-1
UGCG,7,-1
CD2,1,-1
POLR3K,3,-1
PHOSPHO2,11,-1
ZNF878,10,-1
SSTR5,13,-1
UBE2Z,18,-1
IRAK3,1,-1
PIGS,0,-1
RPLP1,17,15
GGA3,2,-1
NRG2,15,-1
ZNF780A,10,21
POU2F1,10,16
DBF4B,18,-1
RPTOR,1,17
CYP26A1,12,2
TFPI,15,-1
NPRL2,18,-1
LPAR2,13,-1
PTGER1,13,-1
GDPD1,7,-1
TAF4,3,-1
TRAF2,1,-1
HSD3B1,12,-1
POLR2J3,3,-1
MRPS10,17,-1
MAPKAPK5,6,9
TAT,12,-1
XPO5,5,-1
CDK1,18,12
ETV4,10,-1
EGLN2,12,-1
SFRP4,1,-1
RNPS1,5,5
ZNF585A,10,-1
ATP6V0D2,9,-1
AGAP3,11,-1
DHRS11,12,-1
IPO9,2,10
MED24,3,-1
PLAT,1,-1
ELN,15,-1
MYLK4,6,-1
SEMA7A,1,11
PHKA2,11,-1
DBF4,16,-1
KPNA5,2,-1
