gene,cluster_kmeans,cluster_hdbscan
RAB27B,12,19
NR4A1,6,23
KIR2DL4,0,-1
CSNK1E,3,-1
CAV3,7,-1
PDE11A,1,5
ZNF182,8,-1
CHSY3,9,-1
DDX39B,15,14
MYO1H,13,-1
CGA,7,-1
LPAR3,0,-1
NCBP2L,15,-1
GREM1,7,23
COL11A1,11,16
PDXP,13,-1
MNX1,6,-1
HTR1D,0,-1
INPPL1,13,-1
AGAP4,5,-1
MPL,7,-1
TAS2R20,0,8
AGPAT2,1,-1
MAPK9,3,23
UBE2Q1,3,-1
COL15A1,11,-1
CDA,1,11
CNTNAP2,13,-1
NPY,7,23
ZNF337,8,26
ANGPT1,7,23
RPE65,10,-1
PRMT1,3,-1
CD33,7,-1
ZNF813,8,25
MMP1,11,-1
SEC31B,12,-1
HDAC11,6,-1
PSMD4,5,-1
TSC2,3,-1
CYFIP2,13,-1
SLC25A17,2,-1
HS6ST2,9,-1
FEN1,4,20
ZNF7,8,25
SF3A2,15,15
CKS2,3,-1
PSTPIP1,13,-1
SLC22A1,2,-1
DLL3,7,-1
ATP6V0D2,12,-1
WNT5A,7,23
ACAP3,5,-1
SLC15A1,2,-1
CHRNA2,2,23
PTGIR,0,-1
TFE3,6,23
CWC15,15,15
EGR1,6,23
RDH11,10,-1
UCN2,0,-1
CRNKL1,15,15
PDGFRB,7,23
B3GALT6,9,-1
GNE,1,-1
FOSB,6,-1
ASIC3,2,-1
SEMA3E,7,23
SH2B3,7,-1
DEGS1,1,6
MANBA,1,-1
CD28,7,-1
PIGM,9,-1
SIGLEC1,11,-1
DNAJB11,5,-1
RASGRP3,3,-1
IGBP1,3,-1
SLC38A5,2,-1
GHRHR,7,-1
ARPC5L,13,-1
CYP4F2,10,12
GDPD3,1,-1
EHD3,12,-1
DLG4,13,23
SEL1L2,12,-1
ZNF726,8,24
SCLY,1,-1
NCOA4,6,-1
PTAFR,0,-1
ZNF205,8,-1
CDC25C,3,-1
MAP3K12,3,-1
ITGA10,11,-1
PKD2L1,2,23
EMD,13,-1
CACNG4,2,23
FERMT3,11,-1
RPS6KA4,3,-1
SSBP1,4,-1
STMN1,13,-1
ZMAT3,5,-1
FGF18,7,-1
C1QA,11,-1
PKN3,3,-1
GALNT12,9,10
TFAP4,6,23
MT1E,5,2
HDAC7,6,-1
FBXO6,3,-1
REN,7,-1
MTHFS,1,-1
VPS36,12,-1
FMO5,10,-1
ZNF614,8,24
AKR7L,5,-1
CYP2C8,10,12
CHRNE,2,-1
TYMS,1,-1
BTD,11,-1
